Age,Gender,Income (AED),Employment Status,Location in Dubai,Skincare Purchase Frequency,Average Monthly Spend (AED),Skincare Products Used,Purchase Influencers,Skin Concerns,Follow Influencer Recommendations,Trusted Influencer Tier,Preferred Platform,Persuasive Ad Format,Browse Time,Purchased After Influencer Promotion,Max Willingness to Spend (AED),Willingness to Try New Brand,Purchase Discouragement Factors,Number of Skincare Influencers Followed,Interest in Curated Skincare Box,Willing to Pay Premium,One Platform for Shopping Inspiration,Influencer Marketing Trust Score (1–5),Favorite Influencer or Brand
26,Male,"10,000–20,000",Working Professional,Dubai Marina,Weekly,175,"Face Masks, Sunscreens, Cleansers, Serums","Dermatologist Recommendations, Friends & Family","Dryness, Wrinkles, Uneven Tone, Acne",Rarely,Celebrity,TikTok,Static Image Post,Afternoon,Yes,226,Unlikely,Too Many Promotions,11–20,Yes,No,YouTube,2,Jessica Beauty
26,Female,"10,000–20,000",Unemployed,Downtown,Monthly,211,"Sunscreens, Anti-aging Products, Serums, Face Masks","Social Media Influencers, Dermatologist Recommendations","Uneven Tone, Acne, Oily Skin, Wrinkles",Rarely,Micro,Instagram,Short Reels,Morning,Yes,190,Neutral,"Lack of Trust, Not Suitable for My Skin, Too Many Promotions",1–5,Maybe,Depends on brand & value,YouTube,4,Crystal Beauty
31,Male,"10,000–20,000",Unemployed,Jumeirah,Monthly,91,"Face Masks, Cleansers, Moisturizers, Anti-aging Products","Packaging, Price","Oily Skin, Dark Spots, Wrinkles, Uneven Tone",Sometimes,Macro,YouTube,Short Reels,Morning,No,330,Unlikely,"Lack of Trust, Not Suitable for My Skin",None,No,Yes,Instagram,3,Mandy Beauty
18,Male,"Below 5,000",Working Professional,Deira,Quarterly,218,"Sunscreens, Serums, Face Masks","Social Media Influencers, Brand, Product Reviews","Wrinkles, Dryness, Dark Spots",Often,Macro,Facebook,Static Image Post,Morning,No,251,Very Unlikely,"No Visible Results, Lack of Trust, Too Many Promotions",None,Yes,Yes,YouTube,4,James Beauty
18,Female,"20,000–35,000",Business Owner,Other,Quarterly,58,"Anti-aging Products, Moisturizers","Product Reviews, Packaging","Wrinkles, Dryness, Oily Skin",Rarely,Macro,YouTube,Static Image Post,Afternoon,No,392,Likely,Too Many Promotions,6–10,Yes,No,Instagram,5,Adrian Beauty
25,Female,"5,000–10,000",Working Professional,Dubai Marina,Monthly,275,"Moisturizers, Serums, Sunscreens","Price, Product Reviews","Uneven Tone, Dark Spots, Dryness",Sometimes,Macro,YouTube,Short Reels,Afternoon,Yes,245,Very Likely,"Price Too High, Lack of Trust",6–10,No,Depends on brand & value,TikTok,2,Aimee Beauty
21,Male,"5,000–10,000",Working Professional,Bur Dubai,Monthly,129,"Serums, Cleansers, Sunscreens","Product Reviews, Packaging, Friends & Family","Dark Spots, Dryness, Wrinkles",Sometimes,Macro,YouTube,Short Reels,Evening,Yes,196,Neutral,No Visible Results,6–10,No,Depends on brand & value,TikTok,4,Alexandra Beauty
32,Female,"10,000–20,000",Student,Bur Dubai,Quarterly,219,"Anti-aging Products, Sunscreens, Cleansers, Serums","Price, Friends & Family","Acne, Oily Skin, Uneven Tone, Dark Spots",Often,Micro,Instagram,Full-Length Video,Evening,Yes,136,Likely,"Not Suitable for My Skin, Lack of Trust",None,Yes,Yes,Instagram,4,Derek Beauty
22,Female,"Below 5,000",Working Professional,Deira,Quarterly,110,"Anti-aging Products, Sunscreens, Face Masks, Cleansers","Product Reviews, Friends & Family","Uneven Tone, Acne",Rarely,Micro,TikTok,Story,Afternoon,Yes,114,Very Unlikely,"Too Many Promotions, No Visible Results, Lack of Trust",1–5,Maybe,Yes,YouTube,2,Jillian Beauty
18,Male,"20,000–35,000",Business Owner,Dubai Marina,Monthly,153,"Sunscreens, Cleansers","Friends & Family, Product Reviews, Brand",Oily Skin,Rarely,Macro,Facebook,Full-Length Video,Late Night,Yes,131,Very Likely,"Price Too High, Not Suitable for My Skin",1–5,Yes,No,Instagram,4,Jessica Beauty
41,Female,"5,000–10,000",Working Professional,Other,Weekly,124,"Serums, Face Masks, Moisturizers","Product Reviews, Dermatologist Recommendations","Dryness, Acne",Sometimes,Celebrity,YouTube,Short Reels,Morning,No,270,Very Likely,"Too Many Promotions, Lack of Trust",More than 20,Yes,Depends on brand & value,Instagram,3,Amanda Beauty
28,Female,"5,000–10,000",Homemaker,Dubai Marina,Weekly,181,"Face Masks, Serums, Moisturizers, Sunscreens","Price, Brand","Oily Skin, Acne, Wrinkles, Dark Spots",Always,Micro,YouTube,Static Image Post,Evening,No,288,Very Likely,"Lack of Trust, Price Too High",6–10,Yes,Yes,TikTok,4,Shawn Beauty
30,Male,"20,000–35,000",Working Professional,Other,Monthly,58,"Sunscreens, Anti-aging Products","Price, Friends & Family, Packaging","Wrinkles, Dryness, Acne, Dark Spots",Sometimes,Celebrity,YouTube,Static Image Post,Evening,No,131,Likely,"Price Too High, Too Many Promotions, No Visible Results",11–20,Maybe,Depends on brand & value,TikTok,2,Cory Beauty
18,Male,"5,000–10,000",Business Owner,Dubai Marina,Monthly,56,"Cleansers, Sunscreens, Serums, Anti-aging Products","Packaging, Friends & Family, Social Media Influencers","Oily Skin, Acne",Often,Micro,Instagram,Static Image Post,Evening,Yes,317,Neutral,"No Visible Results, Price Too High",None,No,No,YouTube,4,Darrell Beauty
25,Prefer not to say,"5,000–10,000",Homemaker,Dubai Marina,Quarterly,78,"Moisturizers, Sunscreens, Serums","Friends & Family, Dermatologist Recommendations, Packaging","Oily Skin, Dark Spots",Sometimes,Mega,YouTube,Story,Afternoon,No,213,Neutral,Lack of Trust,More than 20,Yes,Depends on brand & value,TikTok,3,Ryan Beauty
30,Male,"35,000 and above",Unemployed,Downtown,Monthly,67,"Moisturizers, Face Masks, Sunscreens","Price, Brand, Product Reviews","Wrinkles, Oily Skin, Dark Spots, Uneven Tone",Sometimes,Macro,Instagram,Static Image Post,Afternoon,No,261,Very Unlikely,"Too Many Promotions, No Visible Results",6–10,Yes,No,YouTube,5,Sarah Beauty
20,Male,"Below 5,000",Working Professional,Dubai Marina,Quarterly,255,"Cleansers, Sunscreens","Friends & Family, Packaging, Product Reviews","Oily Skin, Wrinkles, Dryness, Acne",Rarely,Mega,YouTube,Story,Morning,Yes,370,Very Unlikely,"Price Too High, Lack of Trust, No Visible Results",6–10,Yes,No,TikTok,2,Richard Beauty
33,Male,"20,000–35,000",Unemployed,Bur Dubai,Monthly,74,"Moisturizers, Cleansers","Price, Social Media Influencers","Acne, Dryness",Often,Micro,TikTok,Story,Afternoon,No,317,Likely,"Lack of Trust, Price Too High",1–5,Maybe,Depends on brand & value,Instagram,4,Juan Beauty
25,Female,"5,000–10,000",Working Professional,Jumeirah,Weekly,422,"Face Masks, Cleansers, Serums","Social Media Influencers, Dermatologist Recommendations, Product Reviews","Dryness, Oily Skin, Acne",Always,Mega,YouTube,Static Image Post,Evening,No,229,Unlikely,Price Too High,1–5,Yes,No,Instagram,4,Lindsay Beauty
27,Female,"5,000–10,000",Student,Jumeirah,Quarterly,91,"Moisturizers, Anti-aging Products, Sunscreens, Face Masks","Friends & Family, Brand","Wrinkles, Dark Spots",Sometimes,Macro,TikTok,Short Reels,Late Night,Yes,183,Likely,"Too Many Promotions, No Visible Results",1–5,Maybe,Depends on brand & value,TikTok,4,Elaine Beauty
25,Female,"5,000–10,000",Working Professional,Downtown,Quarterly,70,"Face Masks, Sunscreens, Anti-aging Products, Cleansers","Social Media Influencers, Dermatologist Recommendations, Packaging","Oily Skin, Wrinkles, Dark Spots, Uneven Tone",Often,Mega,TikTok,Static Image Post,Late Night,Yes,88,Likely,"Not Suitable for My Skin, Lack of Trust, No Visible Results",6–10,No,Yes,TikTok,4,Gina Beauty
44,Female,"5,000–10,000",Working Professional,Downtown,Monthly,205,"Face Masks, Moisturizers","Brand, Social Media Influencers, Price","Dryness, Dark Spots, Acne, Uneven Tone",Sometimes,Macro,Instagram,Static Image Post,Evening,Yes,196,Very Unlikely,No Visible Results,11–20,No,No,Instagram,4,Eric Beauty
29,Female,"10,000–20,000",Working Professional,Downtown,Weekly,157,"Anti-aging Products, Cleansers","Social Media Influencers, Dermatologist Recommendations, Product Reviews","Acne, Wrinkles",Often,Micro,Instagram,Short Reels,Late Night,No,234,Very Likely,"No Visible Results, Too Many Promotions",11–20,Maybe,Depends on brand & value,Instagram,5,David Beauty
21,Prefer not to say,"Below 5,000",Unemployed,Dubai Marina,Weekly,118,"Serums, Face Masks, Cleansers","Product Reviews, Social Media Influencers, Packaging","Dryness, Dark Spots",Often,Macro,Instagram,Story,Morning,No,175,Very Unlikely,"Price Too High, Not Suitable for My Skin",1–5,Yes,No,Instagram,5,Diane Beauty
36,Male,"Below 5,000",Homemaker,Bur Dubai,Monthly,131,"Sunscreens, Cleansers","Friends & Family, Social Media Influencers","Acne, Oily Skin, Dark Spots, Uneven Tone",Always,Celebrity,YouTube,Static Image Post,Morning,Yes,240,Likely,"No Visible Results, Lack of Trust, Price Too High",More than 20,Maybe,Yes,TikTok,3,Madison Beauty
20,Female,"20,000–35,000",Student,Jumeirah,Monthly,177,"Face Masks, Cleansers, Sunscreens, Moisturizers","Social Media Influencers, Price, Dermatologist Recommendations","Wrinkles, Uneven Tone",Rarely,Micro,Instagram,Full-Length Video,Evening,Yes,255,Very Likely,"Price Too High, Too Many Promotions",1–5,No,Depends on brand & value,YouTube,4,Brenda Beauty
31,Female,"5,000–10,000",Business Owner,Dubai Marina,Monthly,75,"Cleansers, Face Masks","Price, Social Media Influencers, Brand","Dark Spots, Uneven Tone, Oily Skin, Dryness",Sometimes,Mega,Snapchat,Static Image Post,Late Night,Yes,233,Likely,Not Suitable for My Skin,11–20,No,Depends on brand & value,Instagram,5,Sarah Beauty
18,Female,"5,000–10,000",Student,Downtown,Monthly,610,"Anti-aging Products, Sunscreens, Cleansers, Face Masks","Packaging, Price",Dryness,Often,Mega,YouTube,Short Reels,Afternoon,Yes,201,Very Likely,"Price Too High, Too Many Promotions, No Visible Results",6–10,Maybe,Depends on brand & value,YouTube,5,Meghan Beauty
19,Female,"5,000–10,000",Working Professional,Deira,Weekly,418,"Anti-aging Products, Moisturizers, Sunscreens","Social Media Influencers, Friends & Family, Product Reviews","Uneven Tone, Dark Spots, Wrinkles, Dryness",Sometimes,Mega,Instagram,Static Image Post,Evening,Yes,262,Neutral,Not Suitable for My Skin,None,Maybe,Depends on brand & value,Instagram,5,Tammy Beauty
31,Female,"Below 5,000",Working Professional,Downtown,Monthly,155,"Moisturizers, Sunscreens","Packaging, Brand, Dermatologist Recommendations","Wrinkles, Oily Skin, Acne",Often,Mega,Instagram,Static Image Post,Late Night,No,283,Unlikely,"Not Suitable for My Skin, Lack of Trust, No Visible Results",11–20,Yes,Yes,YouTube,3,Brandon Beauty
35,Female,"20,000–35,000",Working Professional,Bur Dubai,Monthly,72,"Face Masks, Sunscreens, Serums","Friends & Family, Brand","Dryness, Oily Skin",Often,Celebrity,Instagram,Short Reels,Evening,No,168,Neutral,"Not Suitable for My Skin, Price Too High, Lack of Trust",6–10,Maybe,Yes,Instagram,3,John Beauty
31,Male,"10,000–20,000",Homemaker,Bur Dubai,Quarterly,164,"Cleansers, Sunscreens, Moisturizers, Anti-aging Products","Dermatologist Recommendations, Price","Uneven Tone, Wrinkles",Often,Mega,YouTube,Full-Length Video,Morning,No,355,Very Likely,Too Many Promotions,More than 20,No,No,Instagram,4,David Beauty
29,Male,"20,000–35,000",Student,Dubai Marina,Monthly,57,"Cleansers, Anti-aging Products, Face Masks","Packaging, Social Media Influencers","Uneven Tone, Oily Skin, Acne, Wrinkles",Sometimes,Micro,Instagram,Short Reels,Afternoon,Yes,242,Likely,Not Suitable for My Skin,More than 20,No,No,YouTube,4,Timothy Beauty
27,Male,"10,000–20,000",Business Owner,Dubai Marina,Monthly,53,"Face Masks, Sunscreens","Dermatologist Recommendations, Price, Product Reviews","Dark Spots, Oily Skin, Dryness, Acne",Rarely,Micro,Instagram,Story,Late Night,No,251,Very Likely,"No Visible Results, Too Many Promotions, Not Suitable for My Skin",11–20,Maybe,Depends on brand & value,TikTok,4,Tyler Beauty
18,Male,"20,000–35,000",Business Owner,Dubai Marina,Monthly,79,"Sunscreens, Anti-aging Products, Moisturizers, Face Masks","Social Media Influencers, Brand, Dermatologist Recommendations","Uneven Tone, Oily Skin, Dark Spots",Often,Mega,Instagram,Static Image Post,Evening,Yes,303,Likely,No Visible Results,6–10,Yes,Yes,YouTube,4,Joel Beauty
24,Male,"10,000–20,000",Working Professional,Downtown,Monthly,112,"Face Masks, Moisturizers, Anti-aging Products","Dermatologist Recommendations, Friends & Family","Wrinkles, Dark Spots",Rarely,Mega,TikTok,Static Image Post,Late Night,Yes,267,Likely,"Too Many Promotions, Lack of Trust",1–5,No,Depends on brand & value,Instagram,5,Adam Beauty
26,Male,"5,000–10,000",Working Professional,Dubai Marina,Quarterly,252,"Sunscreens, Face Masks","Product Reviews, Price","Uneven Tone, Oily Skin",Never,Micro,Facebook,Static Image Post,Evening,No,321,Unlikely,"Too Many Promotions, Price Too High",11–20,Maybe,Depends on brand & value,Instagram,3,Amy Beauty
38,Male,"10,000–20,000",Homemaker,Jumeirah,Monthly,179,"Face Masks, Serums, Cleansers","Dermatologist Recommendations, Packaging","Dark Spots, Acne",Sometimes,Mega,TikTok,Static Image Post,Afternoon,No,271,Very Unlikely,Lack of Trust,6–10,Maybe,Yes,Instagram,5,Eric Beauty
32,Female,"35,000 and above",Working Professional,Downtown,Quarterly,185,"Cleansers, Serums","Friends & Family, Packaging, Dermatologist Recommendations","Uneven Tone, Oily Skin",Sometimes,Macro,Instagram,Static Image Post,Afternoon,No,204,Very Unlikely,Too Many Promotions,1–5,No,Yes,Instagram,4,Lauren Beauty
18,Male,"Below 5,000",Unemployed,Downtown,Monthly,105,"Cleansers, Anti-aging Products, Serums, Face Masks","Social Media Influencers, Price, Product Reviews","Acne, Wrinkles",Sometimes,Celebrity,TikTok,Static Image Post,Morning,Yes,277,Neutral,No Visible Results,6–10,Yes,No,YouTube,3,Deborah Beauty
32,Male,"20,000–35,000",Student,Deira,Monthly,92,"Serums, Anti-aging Products","Brand, Social Media Influencers","Oily Skin, Acne, Dark Spots",Always,Macro,Instagram,Static Image Post,Afternoon,No,164,Very Unlikely,"Lack of Trust, Too Many Promotions, No Visible Results",11–20,No,No,TikTok,4,Roger Beauty
26,Male,"20,000–35,000",Unemployed,Bur Dubai,Monthly,96,"Anti-aging Products, Face Masks","Product Reviews, Social Media Influencers, Packaging","Wrinkles, Acne, Oily Skin",Sometimes,Celebrity,Instagram,Static Image Post,Morning,Yes,258,Unlikely,"No Visible Results, Price Too High, Not Suitable for My Skin",11–20,Maybe,Yes,YouTube,5,Billy Beauty
24,Male,"10,000–20,000",Unemployed,Dubai Marina,Monthly,489,"Anti-aging Products, Serums, Sunscreens, Moisturizers","Brand, Friends & Family",Dark Spots,Always,Mega,Instagram,Story,Afternoon,No,247,Likely,"Lack of Trust, Price Too High, Too Many Promotions",6–10,Maybe,No,YouTube,2,Justin Beauty
34,Non-binary,"10,000–20,000",Student,Deira,Monthly,54,"Moisturizers, Face Masks, Cleansers","Social Media Influencers, Packaging","Dark Spots, Uneven Tone, Wrinkles",Sometimes,Micro,Facebook,Story,Morning,No,234,Very Likely,No Visible Results,6–10,Maybe,No,Instagram,3,Sara Beauty
38,Female,"35,000 and above",Unemployed,Dubai Marina,Monthly,251,"Face Masks, Moisturizers, Cleansers","Social Media Influencers, Friends & Family, Price",Dark Spots,Often,Mega,TikTok,Story,Afternoon,No,240,Very Unlikely,Too Many Promotions,6–10,No,Yes,Instagram,5,Tina Beauty
37,Female,"Below 5,000",Working Professional,Other,Quarterly,136,"Serums, Cleansers, Anti-aging Products, Moisturizers","Friends & Family, Dermatologist Recommendations, Social Media Influencers","Oily Skin, Acne, Wrinkles",Always,None,Snapchat,Static Image Post,Late Night,No,108,Unlikely,"Not Suitable for My Skin, Price Too High, Lack of Trust",6–10,No,Depends on brand & value,Instagram,3,Troy Beauty
23,Male,"10,000–20,000",Working Professional,Downtown,Quarterly,107,"Anti-aging Products, Serums, Face Masks, Cleansers","Product Reviews, Packaging, Friends & Family","Wrinkles, Uneven Tone, Dark Spots, Acne",Sometimes,Micro,YouTube,Static Image Post,Evening,Yes,208,Unlikely,"Lack of Trust, Too Many Promotions",1–5,Maybe,Depends on brand & value,YouTube,4,Kathleen Beauty
27,Female,"10,000–20,000",Working Professional,Deira,Quarterly,179,"Moisturizers, Face Masks","Product Reviews, Packaging","Dark Spots, Wrinkles, Acne, Uneven Tone",Sometimes,Micro,Instagram,Short Reels,Afternoon,No,256,Likely,"Lack of Trust, Too Many Promotions, Price Too High",1–5,Maybe,Depends on brand & value,Instagram,4,Regina Beauty
32,Male,"10,000–20,000",Working Professional,Downtown,Monthly,116,"Sunscreens, Serums, Moisturizers","Social Media Influencers, Product Reviews","Acne, Wrinkles, Dryness",Sometimes,Macro,YouTube,Story,Evening,Yes,261,Likely,"Not Suitable for My Skin, Price Too High, Too Many Promotions",6–10,No,Yes,Instagram,4,Melanie Beauty
37,Male,"10,000–20,000",Unemployed,Deira,Quarterly,256,"Anti-aging Products, Sunscreens, Face Masks, Moisturizers","Dermatologist Recommendations, Packaging, Price","Dryness, Acne",Sometimes,Macro,Instagram,Short Reels,Afternoon,Yes,172,Likely,"Not Suitable for My Skin, Price Too High, Lack of Trust",6–10,Maybe,No,Instagram,4,Elizabeth Beauty
26,Prefer not to say,"35,000 and above",Working Professional,Downtown,Monthly,280,"Cleansers, Anti-aging Products, Serums","Packaging, Product Reviews","Acne, Dark Spots, Uneven Tone, Oily Skin",Often,Micro,YouTube,Full-Length Video,Afternoon,No,344,Unlikely,No Visible Results,None,Maybe,Depends on brand & value,Instagram,3,Henry Beauty
28,Female,"Below 5,000",Business Owner,Downtown,Monthly,104,"Sunscreens, Serums","Friends & Family, Price",Oily Skin,Often,None,TikTok,Short Reels,Late Night,Yes,185,Neutral,"Price Too High, Lack of Trust, Not Suitable for My Skin",None,Yes,Yes,YouTube,4,Elizabeth Beauty
21,Female,"Below 5,000",Working Professional,Dubai Marina,Weekly,82,"Moisturizers, Sunscreens, Face Masks","Packaging, Friends & Family, Dermatologist Recommendations",Wrinkles,Rarely,Mega,Instagram,Short Reels,Evening,No,322,Likely,Not Suitable for My Skin,None,No,Depends on brand & value,YouTube,3,Timothy Beauty
20,Female,"10,000–20,000",Working Professional,Jumeirah,Monthly,139,"Face Masks, Moisturizers, Cleansers, Anti-aging Products","Product Reviews, Price","Dryness, Wrinkles, Acne",Often,Mega,YouTube,Static Image Post,Late Night,Yes,282,Likely,"No Visible Results, Lack of Trust",1–5,Maybe,Depends on brand & value,Instagram,4,Wendy Beauty
36,Female,"Below 5,000",Working Professional,Bur Dubai,Monthly,293,"Cleansers, Sunscreens, Anti-aging Products, Moisturizers","Brand, Price","Dark Spots, Oily Skin, Dryness",Often,Macro,YouTube,Story,Late Night,Yes,201,Very Likely,Not Suitable for My Skin,6–10,No,No,YouTube,2,Stacie Beauty
40,Female,"5,000–10,000",Working Professional,Dubai Marina,Monthly,73,"Serums, Anti-aging Products, Face Masks, Cleansers","Dermatologist Recommendations, Packaging, Friends & Family","Wrinkles, Acne, Uneven Tone",Often,Micro,Instagram,Short Reels,Morning,Yes,383,Very Likely,"No Visible Results, Too Many Promotions",1–5,Maybe,No,YouTube,4,Melissa Beauty
29,Male,"10,000–20,000",Working Professional,Downtown,Monthly,147,"Moisturizers, Face Masks, Anti-aging Products, Serums","Social Media Influencers, Price, Dermatologist Recommendations","Dark Spots, Acne, Wrinkles, Uneven Tone",Sometimes,Celebrity,TikTok,Static Image Post,Morning,Yes,160,Very Likely,"Lack of Trust, Too Many Promotions",11–20,Yes,No,TikTok,3,Linda Beauty
38,Male,"10,000–20,000",Working Professional,Deira,Monthly,149,"Cleansers, Sunscreens, Moisturizers","Dermatologist Recommendations, Social Media Influencers, Product Reviews","Dark Spots, Oily Skin",Sometimes,Mega,Instagram,Story,Morning,No,318,Very Likely,"Price Too High, Lack of Trust, Not Suitable for My Skin",1–5,Maybe,Yes,Instagram,3,Julie Beauty
32,Male,"5,000–10,000",Student,Other,Quarterly,182,"Face Masks, Serums, Anti-aging Products, Sunscreens","Packaging, Brand, Product Reviews",Dryness,Sometimes,Macro,Instagram,Static Image Post,Morning,No,325,Very Likely,"No Visible Results, Too Many Promotions",11–20,No,Yes,TikTok,3,Chelsea Beauty
24,Male,"35,000 and above",Unemployed,Bur Dubai,Weekly,64,"Face Masks, Moisturizers, Anti-aging Products","Friends & Family, Social Media Influencers, Brand","Acne, Oily Skin, Dryness, Wrinkles",Often,Macro,Instagram,Static Image Post,Afternoon,Yes,199,Likely,Lack of Trust,None,Maybe,Depends on brand & value,TikTok,3,Allison Beauty
32,Male,"10,000–20,000",Working Professional,Bur Dubai,Rarely,175,"Anti-aging Products, Cleansers, Serums, Face Masks","Social Media Influencers, Dermatologist Recommendations, Price","Dryness, Acne, Oily Skin, Dark Spots",Always,Macro,Snapchat,Short Reels,Afternoon,Yes,354,Very Unlikely,"Not Suitable for My Skin, Price Too High",1–5,Maybe,Yes,Instagram,5,Mary Beauty
42,Non-binary,"10,000–20,000",Homemaker,Jumeirah,Weekly,289,"Face Masks, Serums, Sunscreens, Anti-aging Products","Social Media Influencers, Price, Product Reviews","Acne, Oily Skin, Uneven Tone",Often,None,Facebook,Short Reels,Late Night,Yes,231,Unlikely,"Price Too High, Not Suitable for My Skin",6–10,Maybe,Depends on brand & value,Instagram,3,Kenneth Beauty
29,Female,"10,000–20,000",Unemployed,Jumeirah,Weekly,69,"Serums, Moisturizers","Dermatologist Recommendations, Social Media Influencers, Friends & Family",Wrinkles,Always,Micro,Instagram,Static Image Post,Late Night,No,271,Likely,"Price Too High, Lack of Trust, Not Suitable for My Skin",None,Yes,Yes,TikTok,5,Brittney Beauty
42,Male,"Below 5,000",Working Professional,Deira,Weekly,77,"Serums, Cleansers, Face Masks","Social Media Influencers, Friends & Family","Acne, Dark Spots, Wrinkles, Uneven Tone",Often,Micro,YouTube,Story,Evening,No,269,Neutral,Lack of Trust,1–5,Maybe,No,TikTok,5,David Beauty
18,Female,"20,000–35,000",Working Professional,Deira,Rarely,405,"Face Masks, Serums, Sunscreens, Moisturizers","Friends & Family, Dermatologist Recommendations",Dryness,Sometimes,Mega,Instagram,Static Image Post,Late Night,No,239,Very Unlikely,"No Visible Results, Lack of Trust",6–10,Maybe,Yes,YouTube,4,Levi Beauty
36,Male,"20,000–35,000",Working Professional,Other,Monthly,69,"Anti-aging Products, Cleansers, Face Masks, Serums","Social Media Influencers, Price, Packaging","Wrinkles, Acne, Dryness",Often,Macro,Instagram,Full-Length Video,Evening,No,310,Very Unlikely,"Too Many Promotions, Lack of Trust",None,No,Yes,YouTube,2,Robert Beauty
30,Non-binary,"10,000–20,000",Working Professional,Deira,Weekly,242,"Face Masks, Cleansers","Product Reviews, Brand",Dryness,Sometimes,Mega,YouTube,Story,Evening,Yes,309,Very Likely,"Too Many Promotions, Not Suitable for My Skin",6–10,Yes,Depends on brand & value,TikTok,3,Michael Beauty
27,Female,"20,000–35,000",Student,Other,Monthly,117,"Anti-aging Products, Moisturizers","Packaging, Price, Social Media Influencers","Uneven Tone, Acne, Dryness",Sometimes,Macro,Instagram,Short Reels,Late Night,Yes,118,Likely,"Price Too High, Lack of Trust, No Visible Results",6–10,Maybe,Depends on brand & value,TikTok,5,Dustin Beauty
30,Male,"20,000–35,000",Working Professional,Deira,Weekly,78,"Face Masks, Sunscreens, Serums","Friends & Family, Price, Social Media Influencers","Dark Spots, Dryness, Wrinkles",Often,Macro,Facebook,Short Reels,Evening,No,347,Likely,"No Visible Results, Lack of Trust, Too Many Promotions",1–5,Maybe,No,YouTube,3,Jerry Beauty
